,"POLICY NUMBER","EFFECTIVE DATE","CANCEL DATE","EXPIRATION DATE","GOVERNING CLASS CODE","NAMED INSURED","CARRIER NAME","AGENCY NAME","AGENCY CITY","AGENCY STATE",EMPLOYER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,PHONE,"# OF EMPLOYEES FOR LOCATION","LOCATION EFFECTIVE DATE","LOCATION CANCEL DATE",NAICS,"WRAP-UP INDICATOR","PEO INDICATOR",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
11,AMW0210001003,4/1/19,NA,4/1/20,8835,"COHESIVE NETWORKS 2 INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"SOUTHERN AIR SOLUTIONS INC","10384 WEST SR 84 NO. 12",NA,DAVIE,FL,33324,BROWARD,5617561977,0,4/1/19,NA,238220,N,Y,26.125463,-80.264371,0.22,place,,,"Fort Lauderdale",FL,"Broward County",33324,US,"TIGER/Line® dataset from the US Census Bureau"
12,AMW0210001003,4/1/19,NA,4/1/20,8835,"COHESIVE NETWORKS 2 INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"WORKBEAST LLC","300 S PINE ISLAND RD STE 300",NA,PLANTATION,FL,333242621,BROWARD,NA,5,4/1/19,NA,561320,N,Y,26.115982,-80.261657,1,rooftop,300,"S Pine Island Rd","Fort Lauderdale",FL,"Broward County",33324,US,Loveland
13,AMW0210001003,4/1/19,NA,4/1/20,8835,"COHESIVE NETWORKS 2 INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"WORKBEAST LLC","953 COLLINS AVE APT 401",NA,"MIAMI BEACH",FL,331395042,DADE,NA,0,4/1/19,NA,561320,N,Y,25.780222,-80.131468,1,rooftop,953,"Collins Ave","Miami Beach",FL,"Miami-Dade County",33139,US,"Miami-Dade County"
14,AMW0310001003,4/1/19,NA,4/1/20,8018,"EMPLOYERS HR LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"CULMIN STAFFING GROUP INC","1480 SW 6TH CT",NA,"POMPANO BEACH",FL,330694531,BROWARD,NA,0,4/1/19,NA,561330,N,Y,26.221567,-80.142379,1,range_interpolation,1480,"SW 6th Ct","Pompano Beach",FL,"Broward County",33069,US,"TIGER/Line® dataset from the US Census Bureau"
15,AMW0310001003,4/1/19,NA,4/1/20,8018,"EMPLOYERS HR LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"CULMIN STAFFING GROUP INC","1840 W 49TH ST STE 409",NA,HIALEAH,FL,330122978,DADE,NA,1,4/1/19,NA,561330,N,Y,25.865942,-80.319704,1,rooftop,1840,"W 49th St",Hialeah,FL,"Miami-Dade County",33012,US,"Miami-Dade County"
16,AMW0310001003,4/1/19,NA,4/1/20,8018,"EMPLOYERS HR LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"FINANCIAL ADDITIONS","701 BRICKELL AVE STE 2300",NA,MIAMI,FL,331312860,DADE,NA,1,4/1/19,NA,561320,N,Y,25.767057,-80.189934,1,rooftop,701,"Brickell Ave",Miami,FL,"Miami-Dade County",33131,US,"Miami-Dade County"
17,AMW0310001003,4/1/19,NA,4/1/20,8018,"EMPLOYERS HR LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"LYNEER STAFFING SOLUTIONS LLC","500 S AUSTRALIAN AVE",NA,"WEST PALM BEACH",FL,334016223,"PALM BEACH",NA,0,4/1/19,NA,561311,N,Y,26.709584,-80.063741,1,rooftop,500,"S Australian Ave","West Palm Beach",FL,"Palm Beach County",33401,US,"Palm Beach County"
18,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"AMECOL GRANITE & MARBLE INC","2903 HILLSBORO RD",NA,"WEST PALM BEACH",FL,334051000,"PALM BEACH",5612548973,1,8/1/18,10/1/18,327991,N,Y,26.687896,-80.070267,1,rooftop,2903,"Hillsboro Rd","West Palm Beach",FL,"Palm Beach County",33405,US,"Palm Beach County"
19,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"ANITA'S MEXICAN GRILL","2118 OKEECHOBEE BLVD",NA,"WEST PALM BEACH",FL,334094113,"PALM BEACH",NA,1,8/1/18,10/1/18,722513,N,Y,26.705858,-80.083749,1,rooftop,2118,"Okeechobee Blvd","West Palm Beach",FL,"Palm Beach County",33409,US,"Palm Beach County"
20,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,CALIENTE,"1820 W 8TH AVE",NA,HIALEAH,FL,330102302,DADE,NA,0,8/1/18,10/1/18,453998,N,Y,25.838234,-80.298307,1,rooftop,1820,"W 8th Ave",Hialeah,FL,"Miami-Dade County",33010,US,"Miami-Dade County"
21,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"GREAT SOUTHERN ENTERPRISES LLC","901 NORTHPOINT PKWY STE 103",NA,"WEST PALM BEACH",FL,334071941,"PALM BEACH",NA,2,8/1/18,10/1/18,238910,N,Y,26.764055,-80.094719,1,rooftop,901,"Northpoint Pkwy","West Palm Beach",FL,"Palm Beach County",33407,US,"Palm Beach County"
22,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"HEDEZ DRYWALL INTERIORS","5356 DOLORES DR",NA,"LAKE WORTH",FL,334634406,"PALM BEACH",NA,2,8/1/18,10/1/18,238310,N,Y,26.608133,-80.128023,1,rooftop,5356,"Dolores Dr","Lake Worth",FL,"Palm Beach County",33463,US,"Palm Beach County"
23,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"J & R WATER BAGELS INC","9859 LAKE WORTH RD # 27/28",NA,"LAKE WORTH",FL,334672373,"PALM BEACH",NA,1,8/1/18,10/1/18,238910,N,Y,26.611838,-80.139648,0.14,intersection,,"28th Ln","Lake Worth",FL,"Palm Beach County",33463,US,"TIGER/Line® dataset from the US Census Bureau"
24,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"JEFCO MANUFACTURING INC","718 NW 1ST ST",NA,"FORT LAUDERDALE",FL,333119002,BROWARD,NA,2,8/1/18,10/1/18,238910,N,Y,26.122785,-80.151274,1,rooftop,718,"NW 1st St","Fort Lauderdale",FL,"Broward County",33311,US,"City of Fort Lauderdale"
25,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"JOHNNY MORELL","4921 SW 188TH AVE",NA,"SOUTHWEST RANCH",FL,333321323,BROWARD,NA,1,8/1/18,8/31/18,238210,N,Y,26.057688,-80.399261,1,rooftop,4921,"SW 188th Ave","Fort Lauderdale",FL,"Broward County",33332,US,Broward
26,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"JUPITER AUTO WASH LLC","6812 W INDIANTOWN RD",NA,JUPITER,FL,334583978,"PALM BEACH",NA,1,8/1/18,10/1/18,445110,N,Y,26.933748,-80.140068,1,rooftop,6812,"W Indiantown Rd",Jupiter,FL,"Palm Beach County",33458,US,"Palm Beach County"
27,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"MANCUSO ELECTRIC LLC","6644 BROOKHURST CIR",NA,"LAKE WORTH",FL,334637345,"PALM BEACH",5615023392,1,8/1/18,10/1/18,238910,N,Y,26.577687,-80.137307,1,rooftop,6644,"Brookhurst Cir","Lake Worth",FL,"Palm Beach County",33463,US,"Palm Beach County"
28,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"RAM AIR INC","4160 NOVA LN",NA,"LAKE WORTH",FL,334623416,"PALM BEACH",5615888345,2,8/1/18,10/1/18,238910,N,Y,26.576223,-80.107636,1,rooftop,4160,"Nova Ln","Lake Worth",FL,"Palm Beach County",33462,US,"Palm Beach County"
29,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"RARE RENOVATIONS LLC","7021 NW 67TH CT",NA,PARKLAND,FL,330671477,BROWARD,9545202268,3,8/1/18,10/1/18,NA,N,Y,26.313326,-80.221026,1,rooftop,7021,"NW 67th Ct","Pompano Beach",FL,"Broward County",33067,US,Broward
30,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"RESTORATIONS OF THE PALM BEACHES INC","401 WATERVIEW DR",NA,"PALM SPRINGS",FL,334616483,"PALM BEACH",5617073954,1,8/1/18,10/1/18,NA,N,Y,26.624034,-80.096726,1,rooftop,401,"Waterview Dr","Lake Worth",FL,"Palm Beach County",33461,US,"Palm Beach County"
31,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"RICH MULLER LAWN SERVICE INC","10259 NW 53RD ST",NA,SUNRISE,FL,333518076,BROWARD,NA,2,8/1/18,10/1/18,238910,N,Y,26.189404,-80.287202,1,rooftop,10259,"NW 53rd St","Fort Lauderdale",FL,"Broward County",33351,US,Statewide2
32,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"SHERBAN MICA WORKS INC","210 SE 12TH AVE",NA,"BOYNTON BEACH",FL,334356064,"PALM BEACH",NA,1,8/1/18,10/1/18,238350,N,Y,26.5167,-80.061853,1,rooftop,210,"SE 12th Ave","Boynton Beach",FL,"Palm Beach County",33435,US,"Palm Beach County"
33,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"SPADO POOL CONSTRUCTION","748 LIGHTHOUSE DR",NA,"NORTH PALM BEAC",FL,334084712,"PALM BEACH",NA,1,8/1/18,10/1/18,423320,N,Y,26.817304,-80.071919,1,rooftop,748,"Lighthouse Dr","North Palm Beach",FL,"Palm Beach County",33408,US,"Palm Beach County"
34,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"STEVE TUROFF SERVICES INC","4710 NE 15TH TER",NA,"OAKLAND PARK",FL,333344218,BROWARD,9544480785,2,8/1/18,10/1/18,NA,N,Y,26.185328,-80.12704,1,rooftop,4710,"NE 15th Ter","Fort Lauderdale",FL,"Broward County",33334,US,Broward
35,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"TOP HAT UNLIMITED LLC","2405 OKEECHOBEE BLVD",NA,"WEST PALM BEACH",FL,334094001,"PALM BEACH",NA,1,8/1/18,10/1/18,811192,N,Y,26.706885,-80.088717,1,rooftop,2405,"Okeechobee Blvd","West Palm Beach",FL,"Palm Beach County",33409,US,"Palm Beach County"
36,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"TURTLE POND SERVICES INC","1000 HOLLAND DR STE 6",NA,"BOCA RATON",FL,334872723,"PALM BEACH",5618836687,2,8/1/18,10/1/18,NA,N,Y,26.406118,-80.107172,1,rooftop,1000,"Holland Dr","Boca Raton",FL,"Palm Beach County",33487,US,"Palm Beach County"
37,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"UNIVERSITY BOOKS & VIDEO INC","11980 SW 8TH ST",NA,MIAMI,FL,331841667,DADE,NA,0,8/1/18,10/1/18,453998,N,Y,25.76047,-80.389885,1,rooftop,11980,"SW 8th St",Miami,FL,"Miami-Dade County",33184,US,"Miami-Dade County"
38,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"UPR PRODUCTS INC","750 S EAST COAST ST",NA,"LAKE WORTH",FL,334604962,"PALM BEACH",5615886630,3,8/1/18,10/1/18,238910,N,Y,26.606555,-80.059293,1,rooftop,750,"S East Coast St","Lake Worth",FL,"Palm Beach County",33460,US,"Palm Beach County"
39,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"WELLINGTON AUTO WASH LLC","4213 S STATE ROAD 7",NA,WELLINGTON,FL,334498144,"PALM BEACH",NA,1,8/1/18,10/1/18,811192,N,Y,26.617682,-80.20537,1,rooftop,4213,"S State Road 7","Lake Worth",FL,"Palm Beach County",33449,US,"Palm Beach County"
40,AMX0590001001,8/1/18,10/1/18,10/1/18,9082,"FLORIDA RESOURCE MANAGEMENT LLC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"9 SOUTHEAST 7TH LLC","9 SE 7TH AVE",NA,"DELRAY BEACH",FL,334835315,"PALM BEACH",NA,1,8/1/18,10/1/18,NA,N,Y,26.461461,-80.065875,1,rooftop,9,"SE 7th Ave","Delray Beach",FL,"Palm Beach County",33483,US,"Palm Beach County"
41,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"AMERICAN ENGINEERING GROUP INC","8726 NW 26TH ST STE 4",NA,DORAL,FL,331721628,DADE,NA,1,8/1/18,8/1/18,332323,N,Y,25.797676,-80.338798,1,rooftop,8726,"NW 26th St",Miami,FL,"Miami-Dade County",33172,US,"Miami-Dade County"
42,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"ARTISTIC CONCRETE GROUP INC","6945 NW 53RD TER",NA,MIAMI,FL,331664801,DADE,NA,2,8/1/18,8/1/18,332323,N,Y,25.822349,-80.310467,1,rooftop,6945,"NW 53rd Ter","Miami Springs",FL,"Miami-Dade County",33166,US,"Miami-Dade County"
43,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"BERTRAM YACHTS LLC","1535 SE 17TH ST STE B115",NA,"FORT LAUDERDALE",FL,333161737,BROWARD,NA,2,8/1/18,8/1/18,238210,N,Y,26.101458,-80.126359,1,rooftop,1535,"SE 17th St","Fort Lauderdale",FL,"Broward County",33316,US,"City of Fort Lauderdale"
44,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"CARIBBEAN STRUCTURES INC","7304 NW 79TH TER",NA,MEDLEY,FL,331662212,DADE,NA,2,8/1/18,8/1/18,NA,N,Y,25.845419,-80.315946,1,rooftop,7304,"NW 79th Ter","Miami Springs",FL,"Miami-Dade County",33166,US,"Miami-Dade County"
45,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"ENVIRONMENTAL PROCESSING SYSTEMS INC","9715 SW 89TH CT",NA,MIAMI,FL,331762906,DADE,NA,3,8/1/18,8/1/18,332323,N,Y,25.679706,-80.339721,1,rooftop,9715,"SW 89th Ct",Miami,FL,"Miami-Dade County",33176,US,"Miami-Dade County"
46,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"JF SCHRIESHEIM & ASSOCIATES INC","2500 S DIXIE HWY",NA,MIAMI,FL,331333137,DADE,NA,1,9/3/18,8/1/18,453991,N,Y,25.740418,-80.235945,1,rooftop,2500,"S Dixie Hwy",Miami,FL,"Miami-Dade County",33133,US,"Miami-Dade County"
47,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"OASIS OUTSOURCING ADMIN GROUP INC","2054 VISTA PKWY STE 300",NA,"WEST PALM BEACH",FL,334116742,"PALM BEACH",NA,0,8/1/18,8/1/18,561330,N,Y,26.712139,-80.147394,1,rooftop,2054,"Vista Pkwy","West Palm Beach",FL,"Palm Beach County",33411,US,"Palm Beach County"
48,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"OASIS OUTSOURCING INC","2054 VISTA PKWY STE 300",NA,"WEST PALM BEACH",FL,334116742,"PALM BEACH",8886274735,1,8/1/18,8/1/18,238210,N,Y,26.712139,-80.147394,1,rooftop,2054,"Vista Pkwy","West Palm Beach",FL,"Palm Beach County",33411,US,"Palm Beach County"
49,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"RG DEVELOPMENT CONSTRUCTION CORP","880 W 20TH ST",NA,HIALEAH,FL,330102311,DADE,7864433951,2,8/1/18,8/1/18,NA,N,Y,25.839594,-80.299655,1,rooftop,880,"W 20th St",Hialeah,FL,"Miami-Dade County",33010,US,"Miami-Dade County"
50,AMX0690001001,8/1/18,8/1/18,10/1/18,9012,"OASIS OUTSOURCING INC","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"VAPOR SHARK ELECTRONIC CIGARETTES","20236 OLD CUTLER RD",NA,"CUTLER BAY",FL,331891919,DADE,NA,0,8/20/18,8/20/18,453991,N,Y,25.578832,-80.334129,1,rooftop,20236,"Old Cutler Rd",Miami,FL,"Miami-Dade County",33189,US,"Miami-Dade County"
51,AMX0790001001,8/1/18,10/1/18,10/1/18,8832,"CONVERGENCE EMPLOYEE LEASING III","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"A C CONSTRUCTION ENTERPRISES INC","6600 GEORGIA AVE STE 10",NA,"WEST PALM BEACH",FL,334054259,"PALM BEACH",5613735078,1,8/1/18,10/1/18,NA,N,Y,26.669649,-80.058452,0.33,place,,,"West Palm Beach",FL,"Palm Beach County",33405,US,"TIGER/Line® dataset from the US Census Bureau"
52,AMX0790001001,8/1/18,10/1/18,10/1/18,8832,"CONVERGENCE EMPLOYEE LEASING III","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"ADVANCED WATER SYSTEMS INC","10301 NW 50TH ST",NA,SUNRISE,FL,333518009,BROWARD,NA,2,8/1/18,10/1/18,238220,N,Y,26.186843,-80.287947,1,rooftop,10301,"NW 50th St","Fort Lauderdale",FL,"Broward County",33351,US,Broward
53,AMX0790001001,8/1/18,10/1/18,10/1/18,8832,"CONVERGENCE EMPLOYEE LEASING III","STATE NATIONAL INSURANCE COMPANY","AMWINS SPECIALTY CASUALTY SOLU",CHICAGO,IL,"BROWARD CENTURY LOCKSMITH II","37 NE 2ND AVE",NA,"DEERFIELD BEACH",FL,334413503,BROWARD,NA,2,8/1/18,10/1/18,423610,N,Y,26.319341,-80.10003,1,rooftop,37,"NE 2nd Ave","Deerfield Beach",FL,"Broward County",33441,US,Broward
